custid,firstorder,lastorder,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,retained,eopenrate,avg_order,paperless,city
Q7RV8W,29/08/2006,29/08/2006,10,63.79,1,0,Rural,1,Phone,Buy One Get One,0,1,0,74.74,0,BOM
D5SNFS,12/04/2007,05/10/2009,7,520.43,0,1,Surburban,1,Web,Discount,0,0,0,178.44,0,DEL
ANEWZC,07/03/2007,07/03/2007,11,236.97,1,1,Urban,1,Phone,Discount,0,0,0,43.54,0,BOM
ZKL5JF,06/04/2007,11/04/2008,3,99.23,1,0,Rural,0,Web,Discount,1,0,0,103.64,0,BOM
EEKG4H,09/11/2005,09/11/2005,9,204.18,0,1,Surburban,0,Web,Buy One Get One,0,0,0,28.63,0,DEL
AZJTMQ,12/07/2005,12/07/2005,2,492.02,1,0,Surburban,0,Phone,No Offer,0,0,0,21.97,0,DEL
HGBG96,31/01/2006,21/06/2006,1,48.32,0,1,Urban,0,Web,No Offer,0,0,0,87.05,0,DEL
W97W6Q,09/04/2006,28/04/2009,10,29.99,1,0,Surburban,0,Phone,No Offer,0,1,2.083333333,35.73,0,DEL
LGA8JT,11/04/2006,02/11/2009,2,391.33,1,0,Surburban,0,Web,No Offer,0,1,10,33.38,0,DEL
RZQEWF,18/10/2006,18/10/2006,1,729.7,1,1,Surburban,1,Web,Discount,0,1,0,22.92,0,DEL
D4AEL5,01/03/2007,26/02/2008,3,134.59,1,0,Urban,1,Phone,Buy One Get One,1,0,0,125.97,0,DEL
3PST7V,09/02/2007,23/03/2007,10,61.09,0,1,Surburban,0,Web,Buy One Get One,0,0,0,37.01,0,DEL
T6ZAER,21/10/2005,16/11/2005,3,203.3,0,1,Surburban,0,Web,No Offer,0,0,0,61.85,0,DEL
C55RAB,08/08/2006,08/08/2006,9,185.43,1,0,Urban,0,Web,Discount,0,0,0,101.3,0,DEL
YRHUHV,03/10/2006,17/11/2009,7,29.99,0,1,Urban,1,Phone,Discount,0,1,3.773584906,151.27,0,DEL
8SK2UB,06/02/2007,20/03/2007,9,78.62,1,0,Urban,0,Web,Discount,0,1,0,58.57,0,DEL
HZS3AJ,25/10/2007,25/10/2007,12,150.06,0,1,Surburban,0,Phone,No Offer,0,0,0,55.9,0,BOM
GXDXR6,27/06/2006,26/06/2007,6,42.66,1,0,Surburban,0,Web,No Offer,0,1,0,132.31,0,DEL
LE9M9X,16/04/2007,16/04/2007,12,69.08,0,1,Rural,0,Phone,Buy One Get One,0,1,0,91.9,0,DEL
B2LW75,11/03/2006,11/03/2006,3,549.29,1,0,Surburban,1,Multichannel,No Offer,0,1,0,39.16,0,DEL
BNE3YV,27/03/2007,01/10/2009,9,506.83,1,0,Rural,1,Multichannel,Discount,0,1,95.65217391,68.82,0,BOM
LJJEMA,25/10/2009,25/10/2009,3,143.93,0,1,Surburban,0,Phone,Buy One Get One,0,1,14.70588235,44.05,0,BOM
EBNK8A,06/09/2006,06/09/2006,10,115.4,1,0,Urban,0,Phone,Discount,0,0,0,184.37,0,DEL
Z4YCW4,27/04/2007,30/06/2009,2,96.91,1,0,Surburban,0,Phone,Buy One Get One,0,1,43.90243902,27.11,1,DEL
FNWU29,22/09/2006,24/11/2008,6,40.07,1,0,Surburban,1,Phone,Discount,0,0,0,65.77,1,MAA
ARR4H6,05/09/2006,17/06/2008,11,417.21,0,1,Urban,0,Phone,No Offer,0,1,26.19047619,44.97,0,BOM
RACF5D,13/10/2006,13/10/2006,9,61.57,1,0,Surburban,1,Phone,Buy One Get One,0,0,0,69.69,0,DEL
64QBT7,27/03/2007,10/04/2007,5,222.07,0,1,Surburban,0,Phone,Buy One Get One,0,0,75.75757576,49.76,0,DEL
GK3EST,20/06/2006,20/06/2006,1,259.91,0,1,Surburban,1,Web,No Offer,0,1,0,81.95,0,DEL
W3TM2U,02/11/2006,05/02/2008,11,53.81,1,0,Urban,1,Phone,No Offer,0,0,0,134.18,1,BOM
MLX3EU,01/10/2004,01/10/2004,9,154.15,0,1,Surburban,0,Web,Discount,0,1,0,63.18,0,DEL
BXWS2B,21/07/2007,07/01/2010,10,1009.44,1,0,Surburban,1,Multichannel,Buy One Get One,0,1,77.77777778,42.62,1,DEL
C8UJQ3,29/03/2006,29/03/2006,2,278.8,1,0,Rural,0,Web,Discount,0,1,0,23.79,0,DEL
PFCF8Q,19/11/2008,19/11/2008,10,31.12,1,0,Urban,0,Phone,Buy One Get One,0,1,93.47826087,165.07,0,DEL
NJR788,22/08/2006,22/08/2006,2,428.74,1,0,Rural,0,Phone,Discount,0,0,0,29.68,0,DEL
J8SLPE,10/09/2005,09/10/2009,7,612.28,1,0,Surburban,1,Phone,Buy One Get One,0,1,4.444444444,39.41,0,DEL
GYH5AF,27/06/2008,27/06/2008,11,228.09,0,1,Surburban,1,Web,No Offer,0,1,2.127659574,73.07,0,DEL
4QRWVB,25/04/2007,22/10/2007,1,640.58,0,1,Urban,1,Phone,Discount,0,1,0,50.87,0,DEL
VMYYX9,28/02/2006,10/10/2006,4,194.11,1,0,Urban,0,Phone,No Offer,0,0,0,35.09,0,DEL
CF5K35,02/02/2007,26/03/2007,7,84.49,0,1,Urban,1,Web,No Offer,0,1,38.0952381,85.37,0,DEL
XQK2CK,07/12/2006,07/12/2006,7,235.14,0,1,Urban,1,Phone,Discount,0,0,0,60.3,0,DEL
FM7VFL,15/10/2005,17/10/2007,2,29.99,0,1,Surburban,0,Phone,Discount,0,1,25,117.32,1,DEL
7PEMUD,29/11/2005,12/11/2008,7,272.32,1,0,Surburban,1,Web,Discount,0,1,0,105.45,0,DEL
A3XBE,10/04/2007,28/07/2008,2,95.33,0,1,Surburban,0,Web,No Offer,1,1,6.666666667,165.23,1,BOM
EQSD5E,20/12/2005,20/12/2005,5,494.26,1,1,Surburban,1,Phone,Discount,0,1,6.666666667,52.4,0,DEL
CT3NDS,22/03/2007,02/01/2010,2,809.07,1,0,Urban,1,Phone,Discount,0,1,87.17948718,30.48,0,BOM
C6HVXN,19/04/2008,19/04/2008,1,80.42,0,1,Urban,1,Phone,Buy One Get One,0,1,0,33.57,0,DEL
ARP342,08/05/2007,08/05/2007,10,237.85,1,0,Urban,0,Web,Buy One Get One,0,0,0,83.04,0,DEL
7PALQK,13/04/2007,27/07/2007,2,82.59,1,0,Surburban,0,Phone,Buy One Get One,0,0,0,54.82,0,DEL
S5DZ4Y,25/07/2006,13/11/2007,6,165.77,0,1,Urban,0,Web,Buy One Get One,1,1,2.127659574,20.54,0,DEL
Z7QFN7,06/05/2005,06/05/2005,3,101.61,0,1,Surburban,1,Phone,No Offer,0,1,0,53.36,0,DEL
TGYGPC,31/01/2007,18/07/2008,8,52.64,0,1,Surburban,1,Web,No Offer,0,1,16.66666667,27.74,0,BOM
DVRYSK,05/04/2007,05/04/2007,6,466.29,1,0,Urban,1,Multichannel,Discount,0,0,0,25,0,DEL
HTJNCB,10/10/2006,11/01/2007,3,100.85,1,0,Urban,1,Phone,Discount,0,1,35.8974359,130.51,0,DEL
3VCXN,30/04/2007,12/05/2008,3,1397.57,1,0,Surburban,1,Multichannel,Discount,0,0,0,141.97,0,DEL
SGU3PB,11/09/2006,11/10/2007,2,770.58,0,1,Surburban,1,Phone,Discount,0,0,0,47.5,1,DEL
PXXTWN,04/07/2006,10/11/2006,3,1973.87,1,0,Surburban,1,Multichannel,No Offer,0,0,0,111.86,0,DEL
U9ZQQP,11/06/2007,21/07/2009,3,133.51,1,0,Urban,0,Web,Discount,0,1,19.56521739,29.73,1,MAA
M87HQT,23/09/2006,16/03/2007,8,31.52,0,1,Surburban,0,Web,Discount,0,0,0,109.16,0,DEL
564EL5,29/06/2006,29/06/2006,1,47.44,0,1,Urban,0,Phone,Buy One Get One,0,0,0,27.6,0,DEL
S7B2TP,20/08/2007,20/08/2007,1,106.27,0,1,Surburban,0,Web,Buy One Get One,0,1,28.94736842,54.62,0,BOM
PA38W9,09/03/2007,09/03/2007,11,215.46,0,1,Urban,0,Web,Buy One Get One,0,0,0,37.2,0,BOM
5DDKKP,12/11/2005,12/11/2005,11,189.25,0,1,Urban,1,Phone,No Offer,0,1,22.5,139.88,0,DEL
BUMVQN,21/02/2006,21/02/2006,10,108.12,1,0,Urban,0,Web,Buy One Get One,0,0,0,57.3,0,DEL
ZPR8KQ,19/09/2006,01/12/2009,8,66.14,1,0,Surburban,1,Phone,No Offer,0,1,3.846153846,59.35,1,DEL
EG43ET,27/02/2007,19/02/2008,8,98.56,1,0,Surburban,1,Web,Buy One Get One,0,1,79.41176471,44.25,0,DEL
QKYBFL,25/01/2007,30/03/2007,6,129.14,1,0,Surburban,0,Web,Buy One Get One,0,1,0,18.42,0,DEL
2NV3SY,31/01/2007,31/01/2007,2,493.17,0,1,Surburban,0,Web,Buy One Get One,0,1,25,302.43,0,BOM
YUA6VH,04/05/2007,26/05/2007,11,146.04,0,1,Surburban,1,Phone,Discount,0,1,2.127659574,50.79,0,BOM
ME8GM2,03/10/2007,04/11/2009,12,29.99,0,1,Urban,1,Web,No Offer,0,1,5.405405405,57.22,1,DEL
ELJFL7,07/02/2007,18/07/2007,2,66.6,1,0,Urban,1,Phone,Buy One Get One,0,1,21.95121951,72.66,0,DEL
37TL6Y,12/05/2007,19/05/2007,12,129.73,1,0,Surburban,0,Web,Buy One Get One,0,1,0,71.96,0,BOM
VSDFDY,28/10/2005,21/11/2005,4,54.41,0,1,Urban,1,Phone,Buy One Get One,0,1,0,37.81,0,DEL
XWM9F2,01/07/2008,01/07/2008,9,1172.42,1,1,Surburban,1,Web,Discount,0,1,23.80952381,16.14,0,BOM
248PRB,30/08/2006,05/11/2009,5,244.34,0,1,Urban,1,Web,Discount,0,1,22.22222222,104.22,0,MAA
EDHT4T,12/03/2007,10/04/2007,2,287.04,1,1,Urban,1,Phone,Buy One Get One,0,1,23.80952381,86.73,0,DEL
2K94VS,24/08/2006,24/08/2006,4,29.99,0,1,Urban,1,Web,Buy One Get One,0,1,29.54545455,30.57,0,DEL
PBCL4J,13/07/2005,13/07/2005,9,151.01,1,0,Surburban,0,Web,No Offer,0,0,0,23.65,0,DEL
E3JPX3,09/02/2007,16/02/2007,11,35.43,1,0,Urban,1,Phone,Discount,0,0,0,120.14,0,DEL
5CLFNM,21/12/2006,14/12/2009,5,84.17,1,0,Urban,1,Web,Buy One Get One,0,1,6.52173913,70.32,0,DEL
S8J2KD,18/10/2006,18/10/2006,3,313.6,0,1,Surburban,0,Phone,No Offer,0,0,0,57.76,0,DEL
SJKEYZ,09/02/2007,30/07/2008,1,117.27,0,1,Rural,0,Phone,Discount,0,1,17.0212766,55.18,0,BOM
PCM3GS,12/10/2006,10/12/2009,5,29.99,0,1,Surburban,0,Web,No Offer,0,1,4.166666667,96.37,1,DEL
4YUT8B,23/02/2007,23/02/2007,3,1167.93,1,1,Rural,1,Web,Buy One Get One,0,0,0,55.68,0,BOM
WYPLUJ,05/12/2005,05/12/2005,3,683.2,1,1,Rural,1,Multichannel,No Offer,0,1,0,20.2,0,DEL
6FR5QW,25/08/2005,25/08/2005,1,110.07,0,1,Urban,0,Web,Discount,0,0,0,29,0,DEL
ETU955,09/01/2010,18/01/2010,1,102.94,1,0,Urban,0,Web,Buy One Get One,0,1,27.27272727,38.46,1,BOM
3WEGJ4,18/01/2006,14/01/2010,2,29.99,0,1,Urban,0,Web,Discount,0,1,4.545454545,36.48,0,DEL
HFLKGD,11/03/2006,02/12/2006,11,160.04,1,0,Rural,0,Web,Discount,0,1,0,51.3,0,DEL
CXU7AW,07/03/2007,09/04/2007,1,418.68,0,1,Surburban,0,Web,No Offer,0,0,0,171.7,0,BOM
Y4JALT,03/08/2007,13/11/2007,11,316.23,1,0,Urban,1,Phone,Discount,0,1,64.70588235,93.96,0,BOM
6ZHF73,24/01/2007,27/05/2009,12,253.06,0,1,Surburban,0,Phone,Buy One Get One,0,0,0,67.95,0,DEL
UTLGDS,21/10/2006,09/10/2009,9,329.96,0,1,Surburban,1,Phone,No Offer,0,1,2.127659574,110.02,0,DEL
F3ANT8,11/05/2007,12/01/2008,7,185.73,1,0,Surburban,0,Phone,Discount,0,1,0,37.35,0,BOM
UH5A8N,09/12/2005,04/02/2006,11,52.08,0,1,Urban,0,Web,Buy One Get One,0,0,0,21.98,0,DEL
72EG38,06/07/2007,26/07/2007,1,616.73,0,1,Urban,1,Web,Discount,0,0,0,147.35,0,DEL
DEHQEB,27/09/2007,05/02/2008,9,123.39,1,0,Urban,0,Phone,Buy One Get One,0,0,0,99.47,0,DEL
HU4SHX,18/08/2006,16/11/2007,3,249.71,1,0,Surburban,0,Phone,No Offer,0,0,0,75.83,0,DEL
ZGNKU4,05/12/2006,16/10/2007,2,46.09,0,1,Urban,0,Web,No Offer,0,1,87.5,27.77,0,BOM
9B2NQX,28/09/2006,28/09/2006,8,48.87,1,0,Surburban,1,Web,Discount,0,0,0,83.85,0,DEL
HSZGYK,28/02/2006,02/05/2006,10,77.37,1,0,Surburban,0,Phone,Buy One Get One,0,1,56.09756098,13.73,0,DEL
FVHPYJ,28/03/2006,28/03/2006,4,270.24,1,0,Urban,1,Phone,No Offer,0,0,50,31.04,0,DEL
SKUYV,21/04/2007,18/01/2010,9,228.8,1,0,Surburban,0,Multichannel,Discount,1,1,25.37313433,85.66,1,BOM
FCX4A7,12/02/2007,15/01/2010,3,80.18,0,1,Urban,0,Phone,Buy One Get One,0,1,87.17948718,101.64,0,BOM
2CQ42Z,16/06/2009,06/07/2009,11,131.76,0,1,Surburban,1,Web,Buy One Get One,1,1,0,44.94,0,DEL
9HRV46,29/06/2009,29/06/2009,9,162.59,0,1,Urban,0,Phone,Discount,1,1,4.545454545,50.94,0,DEL
TNDHYE,04/04/2007,02/05/2007,12,87.62,1,0,Urban,1,Phone,Discount,0,1,4.347826087,56.53,1,MAA
P4SHNX,05/10/2009,05/10/2009,3,29.99,1,0,Surburban,0,Phone,Discount,0,1,23.52941176,41,0,BOM
,#N/A,#N/A,3,29.99,0,1,Urban,0,Web,Buy One Get One,0,1,0,121.11,0,DEL
XFM2UU,02/12/2006,02/12/2006,7,59.96,1,0,Urban,1,Web,Buy One Get One,0,0,0,129.76,0,DEL
FYKE6T,10/01/2007,03/03/2009,7,78.49,0,1,Rural,0,Web,Buy One Get One,0,1,4.444444444,46.46,0,BOM
9HNPDF,16/11/2005,13/12/2005,2,29.99,0,1,Surburban,0,Phone,Discount,0,1,0,49.8,0,DEL
3PMDNS,22/11/2006,22/11/2006,7,206.8,1,0,Surburban,0,Phone,Buy One Get One,0,0,0,28.37,0,DEL
QDTHZ3,26/08/2005,26/08/2005,7,229.53,1,0,Surburban,0,Web,Discount,1,0,0,27.57,0,DEL
85JTA,12/06/2007,19/05/2008,1,439.93,1,1,Rural,1,Multichannel,No Offer,0,1,2.222222222,63.28,0,DEL
YACQB7,14/05/2007,03/06/2009,10,313.67,1,0,Rural,1,Phone,Buy One Get One,1,0,0,87.01,0,DEL
UA88SV,03/07/2007,31/08/2009,7,29.99,1,0,Surburban,1,Web,Buy One Get One,0,1,11.11111111,55.71,0,DEL
M43V97,23/01/2007,23/01/2007,3,57.33,0,1,Surburban,0,Web,Buy One Get One,1,0,0,30.63,0,DEL
BRZQNB,11/04/2007,05/09/2009,2,289.55,0,1,Rural,0,Phone,No Offer,1,1,28.94736842,28.7,1,MAA
6GK8ZP,29/05/2006,29/05/2006,5,29.99,0,1,Surburban,1,Phone,Discount,1,0,0,26.25,0,DEL
AXS66R,21/04/2007,18/01/2010,9,274.29,1,0,Surburban,0,Web,No Offer,0,1,30.55555556,80.06,0,BOM
C9S2QZ,23/03/2006,13/01/2010,1,293.37,1,0,Surburban,0,Phone,No Offer,0,1,19.60784314,53.37,0,DEL
BTE8SJ,20/05/2008,27/06/2008,12,29.99,1,0,Urban,1,Phone,No Offer,0,1,6.976744186,52.63,1,DEL
6C69AH,14/04/2006,14/04/2006,1,407.09,1,0,Surburban,0,Web,No Offer,0,0,0,142.5,0,DEL
MFGEYU,06/03/2007,16/05/2007,1,142.4,0,1,Surburban,0,Phone,No Offer,0,0,0,64.77,0,BOM
SBJSTR,10/06/2007,10/06/2007,1,29.99,0,1,Urban,1,Web,Discount,0,0,0,53.95,0,DEL
4P69JL,08/01/2007,06/10/2008,12,284.54,1,1,Surburban,0,Web,Discount,0,0,0,70.83,0,DEL
Y3Q9RE,06/11/2006,06/11/2006,2,60.2,0,1,Surburban,1,Web,No Offer,0,0,0,49.76,0,DEL
SH97N,01/05/2007,12/06/2007,4,1089.77,1,0,Urban,1,Multichannel,Discount,0,0,21.95121951,71.57,0,BOM
F8CALQ,01/03/2007,01/03/2007,7,29.99,1,0,Surburban,1,Web,Buy One Get One,0,1,5,48.29,0,DEL
AZ48MV,06/04/2007,04/08/2007,1,747.31,0,1,Rural,1,Web,Buy One Get One,0,1,7.692307692,105.92,0,DEL
VZSLYC,06/04/2007,18/02/2009,6,136.63,1,0,Urban,1,Web,Buy One Get One,0,0,0,180.43,1,DEL
9FT8PL,26/03/2007,18/08/2009,10,29.99,1,0,Rural,1,Web,Buy One Get One,0,0,0,151.63,1,DEL
6B6RCS,02/05/2007,02/05/2007,11,54.11,1,0,Urban,1,Web,Buy One Get One,0,0,0,47.16,0,DEL
AL2LGA,31/01/2008,31/01/2008,1,790.36,1,1,Urban,1,Multichannel,Discount,0,0,0,52.62,0,BOM
7VK6PX,10/10/2006,10/10/2006,4,36.49,1,0,Urban,1,Web,No Offer,0,1,14.63414634,41.29,0,DEL
FHKQJY,16/03/2006,16/03/2006,12,271.89,1,0,Rural,0,Web,Discount,0,0,21.42857143,30.09,0,DEL
2WCFBU,24/10/2007,14/11/2007,5,399.46,1,0,Surburban,0,Web,Buy One Get One,0,0,62.96296296,72.78,0,DEL
BWVPGQ,16/04/2007,16/04/2007,3,39.83,0,1,Urban,1,Phone,Discount,1,1,4.347826087,103.83,1,DEL
X3299E,06/01/2007,04/11/2009,10,153.58,1,0,Surburban,0,Phone,Buy One Get One,0,1,10.41666667,132.43,1,DEL
KJ8J2C,11/04/2007,11/04/2007,5,269.99,1,1,Surburban,0,Phone,Discount,0,0,0,63.9,0,DEL
BJAPV3,19/03/2007,25/09/2009,2,29.99,1,0,Urban,1,Web,Buy One Get One,0,0,0,53.85,1,DEL
,#N/A,#N/A,4,292.61,1,0,Surburban,0,Multichannel,No Offer,0,0,100,60.97,1,BOM
VJYRQ8,20/01/2006,19/07/2006,2,576.02,0,1,Surburban,1,Web,Buy One Get One,0,0,0,48.81,0,DEL
3ETY2H,09/03/2007,09/03/2007,6,29.99,1,0,Surburban,0,Web,No Offer,0,0,0,67.94,0,BOM
BSC6KU,15/05/2007,02/09/2008,9,116.3,1,0,Rural,1,Web,Discount,1,1,0,71.56,0,DEL
ABHHAT,16/11/2006,16/11/2006,5,29.99,1,0,Surburban,0,Web,No Offer,0,0,0,49.83,0,DEL
RH5VGB,24/03/2007,29/03/2008,3,29.99,0,1,Urban,1,Web,No Offer,0,1,0,40.97,0,BOM
ER99UJ,06/11/2006,20/10/2009,7,968.65,1,1,Surburban,1,Web,Buy One Get One,0,1,3.773584906,85.39,0,DEL
86SLAH,14/11/2007,14/11/2007,7,39.78,0,1,Surburban,0,Web,Discount,0,1,39.47368421,52.15,0,BOM
TJJPG,03/05/2007,25/06/2009,9,311.81,1,0,Urban,0,Multichannel,Buy One Get One,1,1,100,103.97,1,DEL
GCXDYV,28/03/2007,15/05/2007,1,720.17,1,1,Urban,1,Phone,Discount,0,0,0,35.82,0,BOM
8REF6A,14/09/2006,12/10/2006,4,69.08,0,1,Urban,0,Phone,Discount,0,0,0,33.81,0,BOM
JD489B,31/01/2007,31/01/2007,12,80.56,1,0,Urban,0,Web,Buy One Get One,0,1,58.33333333,30.36,0,BOM
Y6C6NW,19/09/2006,23/08/2008,1,301.19,1,0,Surburban,1,Web,No Offer,0,1,93.75,74.45,0,DEL
UDKBWA,05/04/2007,18/01/2010,10,307.64,0,1,Urban,0,Multichannel,Discount,0,1,30,147.77,0,BOM
Z3M84Z,18/08/2004,06/04/2005,7,481.56,1,0,Surburban,0,Web,Discount,0,0,0,16.09,0,DEL
JJH6BE,21/10/2006,12/01/2010,10,29.99,0,1,Surburban,0,Web,No Offer,0,0,100,74.59,1,DEL
FEUEP6,21/08/2006,16/06/2009,1,895.43,0,1,Surburban,1,Web,Buy One Get One,0,1,4.255319149,48.01,0,DEL
CGUZKY,30/04/2007,16/06/2009,5,425.1,1,0,Rural,1,Phone,Discount,0,1,2.083333333,228.24,0,DEL
S6MWEQ,26/04/2006,05/11/2009,10,36.28,1,0,Urban,1,Web,No Offer,0,1,16.66666667,49.81,0,DEL
646VZ8,23/04/2007,29/04/2007,4,413.46,0,1,Rural,0,Phone,Buy One Get One,0,1,0,79.25,0,DEL
BCERB3,04/03/2006,12/07/2007,7,32.42,1,0,Surburban,0,Phone,No Offer,0,1,8.888888889,50.49,0,DEL
3EEP8A,09/02/2007,21/05/2007,10,170.32,1,0,Urban,1,Phone,Buy One Get One,0,1,0,51.31,0,BOM
3F2G9G,13/02/2007,13/02/2007,1,150.93,1,0,Surburban,0,Web,No Offer,0,1,0,41.81,0,DEL
2Z2YX3,14/11/2006,15/01/2010,11,223.39,1,0,Rural,1,Phone,Buy One Get One,0,1,31.91489362,34.51,0,BOM
SHVHNF,17/03/2006,24/10/2008,1,506.51,1,0,Urban,1,Multichannel,No Offer,0,1,13.04347826,48.65,0,DEL
ESAZ2K,28/04/2007,07/09/2008,8,575.62,1,1,Urban,1,Multichannel,Discount,0,0,0,59.7,1,BOM
FWCQ9Y,21/02/2007,04/11/2009,3,29.99,0,1,Surburban,0,Web,Buy One Get One,1,1,45.45454545,54.35,0,DEL
GZVBPC,01/09/2009,29/12/2009,2,145.76,0,1,Surburban,1,Web,No Offer,1,1,29.26829268,50.46,1,BOM
42D2Z3,10/01/2006,10/01/2006,1,29.99,1,0,Rural,1,Phone,Buy One Get One,0,1,6.666666667,25.93,0,DEL
4A6UZV,31/01/2007,01/03/2007,8,428,1,0,Surburban,1,Multichannel,No Offer,0,1,0,57.74,0,BOM
RLV55D,10/04/2007,10/04/2007,6,604.39,1,1,Urban,1,Phone,No Offer,0,1,6.818181818,200.24,0,BOM
TRAJBC,22/05/2007,22/05/2007,8,171.88,1,0,Surburban,0,Phone,No Offer,0,0,14.28571429,49.97,0,DEL
6ERUQ9,15/04/2005,11/06/2007,4,370.86,0,1,Surburban,0,Multichannel,Buy One Get One,0,1,70.27027027,40.66,0,DEL
QQNM35,20/12/2005,14/06/2009,8,138.62,0,1,Urban,1,Web,Buy One Get One,0,0,0,168.93,1,DEL
